Day,Batch,9:30 - 12:00,1:30 - 4:20
17/08/26,A,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,SEMINAR HALL SOFT SKILS
17/08/26,B,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,SEMINAR HALL SOFT SKILS
17/08/26,C,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,SEMINAR HALL SOFT SKILS
17/08/26,D,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,SEMINAR HALL SOFT SKILS
17/08/26,1,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,CODING (B-27)
17/08/26,2,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,COMMUNICATION SKILLS (B-37)
17/08/26,3,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,EEE/ECE WORKSHOP (B-31 & B-32)
17/08/26,4,PUJA INAUGURAL PRESENTATION BY PRINCIPAL MADAM,AI TOOLS & WEB DESIGN (B - 02)
18/08/26,A,CODING (B-27),SEMINAR HALL TALENT SEARCH 
18/08/26,B,COMMUNICATION SKILLS (B-37),SEMINAR HALL TALENT SEARCH 
18/08/26,C,EEE/ECE WORKSHOP (B-31 & B-32),SEMINAR HALL TALENT SEARCH 
18/08/26,D,AI TOOLS & WEB DESIGN (B - 02),SEMINAR HALL TALENT SEARCH 
18/08/26,1,SEMINAR HALL SOFT SKILS,CODING (B-27)
18/08/26,2,SEMINAR HALL SOFT SKILS,COMMUNICATION SKILLS (B-37)
18/08/26,3,SEMINAR HALL SOFT SKILS,EEE/ECE WORKSHOP (B-31 & B-32)
18/08/26,4,SEMINAR HALL SOFT SKILS,AI TOOLS & WEB DESIGN (B - 02)
20/08/26,A,SEMINAR HALL ENGINEERING CLUB,CODING (B-27)
20/08/26,B,SEMINAR HALL ENGINEERING CLUB,COMMUNICATION SKILLS (B-37)
20/08/26,C,SEMINAR HALL ENGINEERING CLUB,EEE/ECE WORKSHOP (B-31 & B-32)
20/08/26,D,SEMINAR HALL ENGINEERING CLUB,AI TOOLS & WEB DESIGN (B - 02)
20/08/26,1,CODING (B-27),SEMINAR HALL TALENT SEARCH 
20/08/26,2,COMMUNICATION SKILLS (B-37),SEMINAR HALL TALENT SEARCH 
20/08/26,3,EEE/ECE WORKSHOP (B-31 & B-32),SEMINAR HALL TALENT SEARCH 
20/08/26,4,AI TOOLS & WEB DESIGN (B - 02),SEMINAR HALL TALENT SEARCH 
21/08/26,A,CODING (B-27),SPORTS 
21/08/26,B,COMMUNICATION SKILLS (B-37),SPORTS
21/08/26,C,EEE/ECE WORKSHOP (B-31 & B-32),SPORTS
21/08/26,D,AI TOOLS & WEB DESIGN (B - 02),SPORTS
21/08/26,1,SEMINAR HALL ENGINEERING CLUB,CODING (B-27)
21/08/26,2,SEMINAR HALL ENGINEERING CLUB,COMMUNICATION SKILLS (B-37)
21/08/26,3,SEMINAR HALL ENGINEERING CLUB,EEE/ECE WORKSHOP (B-31 & B-32)
21/08/26,4,SEMINAR HALL ENGINEERING CLUB,AI TOOLS & WEB DESIGN (B - 02)
22/08/26,A,SEMINAR HALL SOFT SKILS,CODING (B-27)
22/08/26,B,SEMINAR HALL SOFT SKILS,COMMUNICATION SKILLS (B-37)
22/08/26,C,SEMINAR HALL SOFT SKILS,EEE/ECE WORKSHOP (B-31 & B-32)
22/08/26,D,SEMINAR HALL SOFT SKILS,AI TOOLS & WEB DESIGN (B - 02)
22/08/26,1,CODING (B-27),SPORTS 
22/08/26,2,COMMUNICATION SKILLS (B-37),SPORTS
22/08/26,3,EEE/ECE WORKSHOP (B-31 & B-32),SPORTS
22/08/26,4,AI TOOLS & WEB DESIGN (B - 02),SPORTS


